"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Middlesex","017","Carbon Dioxide","GHG","6300043.831","TON"
"Industrial Processes - NEC","MA","25","Suffolk","025","Carbon Dioxide","GHG","3699462.7749794","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Worcester","027","Carbon Dioxide","GHG","3664648.854","TON"
"Industrial Processes - NEC","MA","25","Norfolk","021","Carbon Dioxide","GHG","3179206.1390982","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Norfolk","021","Carbon Dioxide","GHG","3093444.8428","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Essex","009","Carbon Dioxide","GHG","2970947.8712","TON"
"Industrial Processes - NEC","MA","25","Worcester","027","Carbon Dioxide","GHG","2331559.6807825","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Bristol","005","Carbon Dioxide","GHG","2321794.4919","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Plymouth","023","Carbon Dioxide","GHG","2165782.3236","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Suffolk","025","Carbon Dioxide","GHG","2019075.5924","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Hampden","013","Carbon Dioxide","GHG","1863313.5235","TON"
"Industrial Processes - NEC","MA","25","Essex","009","Carbon Dioxide","GHG","1690119.21760615","TON"
"Industrial Processes - NEC","MA","25","Bristol","005","Carbon Dioxide","GHG","1664101.13880935","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Barnstable","001","Carbon Dioxide","GHG","1329097.8095","TON"
"Industrial Processes - NEC","MA","25","Middlesex","017","Carbon Dioxide","GHG","1213997.70118","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Middlesex","017","Carbon Dioxide","GHG","1058534.079","TON"
"Industrial Processes - NEC","MA","25","Plymouth","023","Carbon Dioxide","GHG","987842.73390055","TON"
"Industrial Processes - NEC","MA","25","Hampden","013","Carbon Dioxide","GHG","775201.0032996","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Worcester","027","Carbon Dioxide","GHG","702957.799","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Berkshire","003","Carbon Dioxide","GHG","596194.7958","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Hampshire","015","Carbon Dioxide","GHG","586144.34118","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Norfolk","021","Carbon Dioxide","GHG","550320.278","TON"
"Mobile - Aircraft","MA","25","Suffolk","025","Carbon Dioxide","GHG","536832.0330015","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Essex","009","Carbon Dioxide","GHG","518234.663","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Bristol","005","Carbon Dioxide","GHG","396150.64","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Middlesex","017","Carbon Dioxide","GHG","391416.75798","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Hampden","013","Carbon Dioxide","GHG","386792.037","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Franklin","011","Carbon Dioxide","GHG","386470.65267","TON"
"Industrial Processes - NEC","MA","25","Berkshire","003","Carbon Dioxide","GHG","335357.66064995","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Plymouth","023","Carbon Dioxide","GHG","313180.902","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Suffolk","025","Carbon Dioxide","GHG","295495.6389","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Suffolk","025","Carbon Dioxide","GHG","274140.307853","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Middlesex","017","Carbon Dioxide","GHG","226502.5116282","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Middlesex","017","Carbon Dioxide","GHG","205531.71483","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Worcester","027","Carbon Dioxide","GHG","188622.26341","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Norfolk","021","Carbon Dioxide","GHG","164011.75361","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Barnstable","001","Carbon Dioxide","GHG","152183.325","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Essex","009","Carbon Dioxide","GHG","148934.7645","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Berkshire","003","Carbon Dioxide","GHG","130163.973","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Barnstable","001","Carbon Dioxide","GHG","129919.474061761","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Essex","009","Carbon Dioxide","GHG","125125.69633531","TON"
"Industrial Processes - NEC","MA","25","Hampshire","015","Carbon Dioxide","GHG","124414.26137705","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Worcester","027","Carbon Dioxide","GHG","114939.3001443","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Plymouth","023","Carbon Dioxide","GHG","111223.5314","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Plymouth","023","Carbon Dioxide","GHG","111007.512371","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Bristol","005","Carbon Dioxide","GHG","105565.82354","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Norfolk","021","Carbon Dioxide","GHG","105284.66133421","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Hampshire","015","Carbon Dioxide","GHG","98109.1723","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Worcester","027","Carbon Dioxide","GHG","95641.686294","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Essex","009","Carbon Dioxide","GHG","92859.44043","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Middlesex","017","Carbon Dioxide","GHG","91955.1296541","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Franklin","011","Carbon Dioxide","GHG","85690.7198","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Middlesex","017","Carbon Dioxide","GHG","75857.82","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Hampden","013","Carbon Dioxide","GHG","74402.47849","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Bristol","005","Carbon Dioxide","GHG","71029.37799657","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Barnstable","001","Carbon Dioxide","GHG","66207.5697731","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Suffolk","025","Carbon Dioxide","GHG","63956.099103128","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Norfolk","021","Carbon Dioxide","GHG","63009.005","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Dukes","007","Carbon Dioxide","GHG","62363.83738","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Bristol","005","Carbon Dioxide","GHG","61907.08667","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Suffolk","025","Carbon Dioxide","GHG","61750.3230278","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Middlesex","017","Carbon Monoxide","CAP","60677.20175","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Worcester","027","Carbon Dioxide","GHG","60365.342","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Plymouth","023","Carbon Dioxide","GHG","57828.90208","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Barnstable","001","Carbon Dioxide","GHG","56233.04144","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Essex","009","Carbon Dioxide","GHG","55728.8819178","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Hampden","013","Carbon Dioxide","GHG","54370.29381755","TON"
"Industrial Processes - NEC","MA","25","Barnstable","001","Carbon Dioxide","GHG","52425.38378425","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Hampden","013","Carbon Dioxide","GHG","49835.35631","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Middlesex","017","Carbon Monoxide","CAP","48280.42136599","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Worcester","027","Carbon Dioxide","GHG","47879.7067238","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Nantucket","019","Carbon Dioxide","GHG","39575.700588","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Franklin","011","Carbon Dioxide","GHG","37858.73812414","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Berkshire","003","Carbon Dioxide","GHG","37375.43492031","TON"
"Industrial Processes - NEC","MA","25","Franklin","011","Carbon Dioxide","GHG","37270.36435765","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Norfolk","021","Carbon Dioxide","GHG","37123.362","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Worcester","027","Carbon Monoxide","CAP","36381.538416","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Bristol","005","Carbon Dioxide","GHG","35873.88","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Bristol","005","Carbon Dioxide","GHG","35714.76784321","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Plymouth","023","Carbon Dioxide","GHG","35092.274","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Essex","009","Carbon Dioxide","GHG","33910.3","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Hampshire","015","Carbon Dioxide","GHG","33373.71395","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Berkshire","003","Carbon Dioxide","GHG","32867.25554","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Dukes","007","Carbon Dioxide","GHG","31689.74294752","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Norfolk","021","Carbon Dioxide","GHG","31651.2438939","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Essex","009","Carbon Monoxide","CAP","30057.17009","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Hampden","013","Carbon Dioxide","GHG","29458.448769","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Norfolk","021","Carbon Monoxide","CAP","29072.228876","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Hampden","013","Carbon Dioxide","GHG","27665.735","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Bristol","005","Carbon Monoxide","CAP","25944.221661","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Barnstable","001","Carbon Dioxide","GHG","24391.793","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Essex","009","Carbon Monoxide","CAP","23867.84697326","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Nantucket","019","Carbon Dioxide","GHG","22424.057478972","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Worcester","027","Carbon Monoxide","CAP","22309.09575307","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Berkshire","003","Carbon Dioxide","GHG","22161.4246044","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Plymouth","023","Carbon Monoxide","CAP","22079.035635","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Norfolk","021","Carbon Monoxide","CAP","21998.258630075","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Hampshire","015","Carbon Dioxide","GHG","21894.89843444","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Barnstable","001","Carbon Monoxide","CAP","21894.360706042","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Suffolk","025","Carbon Dioxide","GHG","20701.685063246","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Hampden","013","Carbon Monoxide","CAP","20548.954754","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Plymouth","023","Carbon Monoxide","CAP","20322.44997177","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Suffolk","025","Carbon Monoxide","CAP","19174.088374","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Suffolk","025","Carbon Dioxide","GHG","18547.748","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Hampshire","015","Carbon Dioxide","GHG","18216.3398","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Franklin","011","Carbon Dioxide","GHG","17999.46134","TON"
"Biogenics - Vegetation and Soil","MA","25","Worcester","027","Volatile Organic Compounds","CAP","17347.06","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Plymouth","023","Carbon Dioxide","GHG","14698.37540222","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Suffolk","025","Carbon Monoxide","CAP","13389.0043640774","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Hampshire","015","Carbon Dioxide","GHG","13302.545","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Bristol","005","Carbon Monoxide","CAP","13224.01791512","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Dukes","007","Carbon Dioxide","GHG","13029.696175","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Barnstable","001","Carbon Monoxide","CAP","11794.853129","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Franklin","011","Carbon Dioxide","GHG","11103.512","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Hampden","013","Carbon Monoxide","CAP","11004.746127866","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Franklin","011","Carbon Dioxide","GHG","10777.51116","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Nantucket","019","Carbon Dioxide","GHG","10468.650646","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Berkshire","003","Carbon Dioxide","GHG","10459.201","TON"
"Biogenics - Vegetation and Soil","MA","25","Plymouth","023","Volatile Organic Compounds","CAP","9176.049","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Franklin","011","Carbon Dioxide","GHG","9122.79686161","TON"
"Biogenics - Vegetation and Soil","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","9078.179","TON"
"Biogenics - Vegetation and Soil","MA","25","Franklin","011","Volatile Organic Compounds","CAP","8484.102","TON"
"Fuel Comb - Electric Generation - Oil","MA","25","Essex","009","Carbon Dioxide","GHG","8403.6","TON"
"Biogenics - Vegetation and Soil","MA","25","Berkshire","003","Volatile Organic Compounds","CAP","8149.568","TON"
"Mobile - Aircraft","MA","25","Multiple (portable facilities)","777","Lead","CAP/HAP","7958.234","LB"
"Mobile - Non-Road Equipment - Other","MA","25","Berkshire","003","Carbon Dioxide","GHG","7897.63600666","TON"
"Biogenics - Vegetation and Soil","MA","25","Hampden","013","Volatile Organic Compounds","CAP","7351.492","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Dukes","007","Carbon Dioxide","GHG","7042.618","TON"
"Fuel Comb - Residential - Wood","MA","25","Worcester","027","Carbon Monoxide","CAP","7021.024069","TON"
"Biogenics - Vegetation and Soil","MA","25","Bristol","005","Volatile Organic Compounds","CAP","6998.339","TON"
"Biogenics - Vegetation and Soil","MA","25","Hampshire","015","Volatile Organic Compounds","CAP","6940.283","TON"
"Waste Disposal","MA","25","Worcester","027","Carbon Monoxide","CAP","6341.14022987","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Hampshire","015","Carbon Monoxide","CAP","6323.5346718","TON"
"Biogenics - Vegetation and Soil","MA","25","Essex","009","Volatile Organic Compounds","CAP","6280.102","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Berkshire","003","Carbon Monoxide","CAP","5920.6037364","TON"
"Solvent - Industrial Surface Coating & Solvent Use","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","5835.02669","TON"
"Fuel Comb - Residential - Wood","MA","25","Middlesex","017","Carbon Monoxide","CAP","5812.5881463","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Berkshire","003","Carbon Monoxide","CAP","5597.5111984","TON"
"Biogenics - Vegetation and Soil","MA","25","Barnstable","001","Volatile Organic Compounds","CAP","5288.368","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Middlesex","017","Nitrogen Oxides","CAP","5105.9728849","TON"
"Fires - Wildfires","MA","25","Barnstable","001","Carbon Dioxide","GHG","5071.080816","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Hampshire","015","Carbon Dioxide","GHG","5045.54724631","TON"
"Biogenics - Vegetation and Soil","MA","25","Norfolk","021","Volatile Organic Compounds","CAP","5013.058","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","4839.123481","TON"
"Industrial Processes - NEC","MA","25","Worcester","027","Methane","GHG","4779.57857154","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Franklin","011","Carbon Monoxide","CAP","4572.94063673","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Dukes","007","Carbon Monoxide","CAP","4326.168600825","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Hampshire","015","Carbon Monoxide","CAP","4252.33089371","TON"
"Fires - Wildfires","MA","25","Middlesex","017","Carbon Dioxide","GHG","4243.970633","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","4218.075046","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Franklin","011","Carbon Monoxide","CAP","4070.5141494","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Nantucket","019","Carbon Dioxide","GHG","3901.5931713","TON"
"Agriculture - Crops & Livestock Dust","MA","25","Franklin","011","PM10 Primary (Filt + Cond)","CAP","3755.556758166","TON"
"Fuel Comb - Residential - Wood","MA","25","Hampden","013","Carbon Monoxide","CAP","3572.327058","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Barnstable","001","Carbon Dioxide","GHG","3494.5469568","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Middlesex","017","Nitrogen Oxides","CAP","3389.48578","TON"
"Mobile - Aircraft","MA","25","Suffolk","025","Carbon Monoxide","CAP","3357.870185592","TON"
"Waste Disposal","MA","25","Middlesex","017","Carbon Monoxide","CAP","3321.22484","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Nantucket","019","Carbon Monoxide","CAP","3261.5915823319","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Worcester","027","Nitrogen Oxides","CAP","3171.0059003","TON"
"Mobile - Aircraft","MA","25","Nantucket","019","Carbon Dioxide","GHG","3106.374531","TON"
"Dust - Construction Dust","MA","25","Middlesex","017","PM10 Primary (Filt + Cond)","CAP","3020.697512","TON"
"Agriculture - Crops & Livestock Dust","MA","25","Hampshire","015","PM10 Primary (Filt + Cond)","CAP","2771.00611618","TON"
"Fuel Comb - Residential - Wood","MA","25","Bristol","005","Carbon Monoxide","CAP","2749.3700445","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Worcester","027","Volatile Organic Compounds","CAP","2738.2357045","TON"
"Industrial Processes - NEC","MA","25","Essex","009","Methane","GHG","2737.072523845","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","2736.289689621","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Essex","009","Nitrogen Oxides","CAP","2586.1448286","TON"
"Fuel Comb - Residential - Wood","MA","25","Plymouth","023","Carbon Monoxide","CAP","2581.8923203","TON"
"Dust - Unpaved Road Dust","MA","25","Franklin","011","PM10 Primary (Filt + Cond)","CAP","2545.762","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Middlesex","017","Carbon Monoxide","CAP","2542.187841","TON"
"Fuel Comb - Residential - Wood","MA","25","Norfolk","021","Carbon Monoxide","CAP","2521.31931767","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Norfolk","021","Nitrogen Oxides","CAP","2491.2260982","TON"
"Dust - Unpaved Road Dust","MA","25","Berkshire","003","PM10 Primary (Filt + Cond)","CAP","2488.792","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Bristol","005","Nitrogen Oxides","CAP","2456.5342978","TON"
"Waste Disposal","MA","25","Essex","009","Nitrogen Oxides","CAP","2428.9595016","TON"
"Industrial Processes - NEC","MA","25","Plymouth","023","Methane","GHG","2389.028690835","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Essex","009","Volatile Organic Compounds","CAP","2385.1636618","TON"
"Fuel Comb - Residential - Wood","MA","25","Essex","009","Carbon Monoxide","CAP","2281.1731563","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Worcester","027","Nitrogen Oxides","CAP","2275.66332","TON"
"Dust - Construction Dust","MA","25","Suffolk","025","PM10 Primary (Filt + Cond)","CAP","2252.480081","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Middlesex","017","Nitrogen Oxides","CAP","2224.79246405","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Norfolk","021","Volatile Organic Compounds","CAP","2216.4972819","TON"
"Agriculture - Crops & Livestock Dust","MA","25","Worcester","027","PM10 Primary (Filt + Cond)","CAP","2189.0151067","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Bristol","005","Volatile Organic Compounds","CAP","2182.776308","TON"
"Fuel Comb - Residential - Wood","MA","25","Berkshire","003","Carbon Monoxide","CAP","2175.9617434","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","25","Worcester","027","Volatile Organic Compounds","CAP","2174.2755","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Barnstable","001","Volatile Organic Compounds","CAP","2166.1013490129","TON"
"Biogenics - Vegetation and Soil","MA","25","Worcester","027","Carbon Monoxide","CAP","2137.75","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","25","Suffolk","025","Volatile Organic Compounds","CAP","2084.5780085884","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","25","Essex","009","Volatile Organic Compounds","CAP","2077.505033","TON"
"Solvent - Non-Industrial Surface Coating","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","2035.102","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Plymouth","023","Nitrogen Oxides","CAP","1985.3021413","TON"
"Waste Disposal","MA","25","Bristol","005","Carbon Monoxide","CAP","1981.932","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Dukes","007","Carbon Dioxide","GHG","1951.700695","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Hampden","013","Nitrogen Oxides","CAP","1908.8367126","TON"
"Waste Disposal","MA","25","Plymouth","023","Carbon Monoxide","CAP","1902.788984","TON"
"Industrial Processes - NEC","MA","25","Hampshire","015","Methane","GHG","1889.152471815","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","25","Norfolk","021","Volatile Organic Compounds","CAP","1854.817383","TON"
"Biogenics - Vegetation and Soil","MA","25","Dukes","007","Volatile Organic Compounds","CAP","1807.934","TON"
"Solvent - Industrial Surface Coating & Solvent Use","MA","25","Worcester","027","Volatile Organic Compounds","CAP","1806.58066","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Suffolk","025","Volatile Organic Compounds","CAP","1797.4138965","TON"
"Waste Disposal","MA","25","Hampden","013","Carbon Monoxide","CAP","1786.727132","TON"
"Fires - Wildfires","MA","25","Worcester","027","Carbon Dioxide","GHG","1759.652067","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Norfolk","021","Nitrogen Oxides","CAP","1755.63341","TON"
"Dust - Paved Road Dust","MA","25","Middlesex","017","PM10 Primary (Filt + Cond)","CAP","1747.696","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Plymouth","023","Volatile Organic Compounds","CAP","1741.4127956904","TON"
"Fuel Comb - Residential - Wood","MA","25","Hampshire","015","Carbon Monoxide","CAP","1737.6034305","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Hampden","013","Volatile Organic Compounds","CAP","1716.7744006","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Essex","009","Volatile Organic Compounds","CAP","1699.6781736906","TON"
"Fuel Comb - Residential - Wood","MA","25","Barnstable","001","Carbon Monoxide","CAP","1682.4663935","TON"
