"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Middlesex","017","Carbon Dioxide","GHG","6698041.776","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Worcester","027","Carbon Dioxide","GHG","3126727.804","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Norfolk","021","Carbon Dioxide","GHG","3106980.413","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Essex","009","Carbon Dioxide","GHG","2930859.194","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Suffolk","025","Carbon Dioxide","GHG","2275107.345","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Bristol","005","Carbon Dioxide","GHG","2060264.023","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Plymouth","023","Carbon Dioxide","GHG","1753483.402","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Hampden","013","Carbon Dioxide","GHG","1361722.6691","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Barnstable","001","Carbon Dioxide","GHG","788748.654","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Middlesex","017","Carbon Dioxide","GHG","662484.313","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Hampshire","015","Carbon Dioxide","GHG","483605.5268","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Middlesex","017","Carbon Dioxide","GHG","431800.6992566","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Berkshire","003","Carbon Dioxide","GHG","395124.6905","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Worcester","027","Carbon Dioxide","GHG","322339.42","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Norfolk","021","Carbon Dioxide","GHG","298670.548","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Essex","009","Carbon Dioxide","GHG","292749.228","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Worcester","027","Carbon Dioxide","GHG","290195.990653","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Franklin","011","Carbon Dioxide","GHG","263906.0976","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Middlesex","017","Carbon Dioxide","GHG","225378.28088350000000678162","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Bristol","005","Carbon Dioxide","GHG","210456.481","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Suffolk","025","Carbon Dioxide","GHG","207945.60374449600000144213","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Essex","009","Carbon Dioxide","GHG","205993.1055075000000000974271","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Suffolk","025","Carbon Dioxide","GHG","194589.72","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Norfolk","021","Carbon Dioxide","GHG","187566.55611139","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Plymouth","023","Carbon Dioxide","GHG","181745.781","TON"
